Date,Cases
2020-01-31,187
2020-02-29,1660
2020-03-31,3648
2020-04-30,5462
2020-05-31,7015
2020-06-30,7866
2020-07-31,9212
2020-08-31,10253
2020-09-30,10484
2020-10-31,12121
2020-11-30,13515
2020-12-31,14633
2021-01-31,15632
2021-02-28,15986
2021-03-31,16101
2021-04-30,17851
2021-05-31,18157
2021-06-30,19597
2021-07-31,21119
2021-08-31,21232
2021-09-30,22759
2021-10-31,23143
2021-11-30,23723
2021-12-31,25677
2022-01-31,26905
2022-02-28,27660
2022-03-31,28451
2022-04-30,29903
2022-05-31,30160
2022-06-30,30814
2022-07-31,31072
2022-08-31,31773
2022-09-30,32849
2022-10-31,34148
2022-11-30,36073
2022-12-31,36829
2023-01-31,37530
2023-02-28,39369
2023-03-31,40702
2023-04-30,41768
2023-05-31,42102
2023-06-30,43131
2023-07-31,43905
2023-08-31,44358
2023-09-30,45811
2023-10-31,47106
2023-11-30,47809
2023-12-31,49072
2024-01-31,50386
2024-02-29,50926
2024-03-31,52122
2024-04-30,52952
2024-05-31,54175
2024-06-30,54964
2024-07-31,55471
2024-08-31,57309
2024-09-30,58433
2024-10-31,60283
2024-11-30,60877
2024-12-31,61901
2025-01-31,63093
2025-02-28,63202
2025-03-31,64339
2025-04-30,66283
2025-05-31,67484
2025-06-30,68783
2025-07-31,69742
2025-08-31,71291
2025-09-30,72947
2025-10-31,73472
2025-11-30,73996
2025-12-31,74155
2026-01-31,75757
2026-02-28,76490
2026-03-31,77895
2026-04-30,79418
2026-05-31,79990
2026-06-30,81296
2026-07-31,81889
2026-08-31,82647
2026-09-30,83654
2026-10-31,84206
2026-11-30,85625
2026-12-31,86557
2027-01-31,86736
2027-02-28,88612
2027-03-31,88955
2027-04-30,89521
2027-05-31,89914
2027-06-30,90893
2027-07-31,92642
2027-08-31,93662
2027-09-30,94416
2027-10-31,95260
2027-11-30,96266
2027-12-31,97579
2028-01-31,97680
2028-02-29,99023
2028-03-31,99363
2028-04-30,101120
2028-05-31,101754
2028-06-30,103051
2028-07-31,104125
2028-08-31,105941
2028-09-30,106079
2028-10-31,106237
2028-11-30,107714
2028-12-31,108056
2029-01-31,109439
2029-02-28,110286
2029-03-31,110603
2029-04-30,111536
2029-05-31,112909
2029-06-30,113520
2029-07-31,115179
2029-08-31,116298
2029-09-30,117534
2029-10-31,119036
2029-11-30,120445
2029-12-31,121509
2030-01-31,123476
2030-02-28,124606
2030-03-31,126039
2030-04-30,127537
2030-05-31,128750
2030-06-30,129412
2030-07-31,129574
2030-08-31,131196
2030-09-30,133140
2030-10-31,133267
2030-11-30,134026
2030-12-31,134301
2031-01-31,135948
2031-02-28,136532
2031-03-31,136878
2031-04-30,137728
2031-05-31,139476
2031-06-30,141051
2031-07-31,142411
2031-08-31,143316
2031-09-30,145110
2031-10-31,145556
2031-11-30,147104
2031-12-31,147295
2032-01-31,149144
2032-02-29,150894
2032-03-31,151979
2032-04-30,152171
2032-05-31,153208
2032-06-30,154584
2032-07-31,155057
2032-08-31,155189
2032-09-30,155823
2032-10-31,156099
2032-11-30,157214
2032-12-31,158311
2033-01-31,158870
2033-02-28,160283
2033-03-31,162071
2033-04-30,162858
2033-05-31,164418
2033-06-30,165312
2033-07-31,165764
2033-08-31,166570
2033-09-30,166776
2033-10-31,167408
2033-11-30,167758
2033-12-31,169343
2034-01-31,169826
2034-02-28,171061
2034-03-31,172850
2034-04-30,173780
2034-05-31,173994
2034-06-30,175242
2034-07-31,176998
2034-08-31,178152
2034-09-30,179041
2034-10-31,179664
2034-11-30,181564
2034-12-31,183405
